company_name,parent_company_name,company_country
Microsoft Corporation,Microsoft Corporation,US
Google LLC,Alphabet Inc.,US
Apple Inc.,Apple Inc.,US
Amazon.com Inc.,Amazon.com Inc.,US
Meta Platforms Inc.,Meta Platforms Inc.,US
Tesla Inc.,Tesla Inc.,US
Netflix Inc.,Netflix Inc.,US
Salesforce Inc.,Salesforce Inc.,US
NVIDIA Corporation,NVIDIA Corporation,US
Oracle Corporation,Oracle Corporation,US
International Business Machines Corporation,International Business Machines Corporation,US
Adobe Inc.,Adobe Inc.,US
Intel Corporation,Intel Corporation,US
Cisco Systems Inc.,Cisco Systems Inc.,US
PayPal Holdings Inc.,PayPal Holdings Inc.,US
Samsung Electronics Co. Ltd.,Samsung Electronics Co. Ltd.,KR
Toyota Motor Corporation,Toyota Motor Corporation,JP
ASML Holding NV,ASML Holding NV,NL
SAP SE,SAP SE,DE
Shopify Inc.,Shopify Inc.,CA
